NumParticles,FrameTime,UpdateTime
92,0.001399,0.000229
92,0.001783,0.000279
93,0.001310,0.000144
93,0.001084,0.000134
93,0.000956,0.000139
93,0.000886,0.000129
93,0.000831,0.000131
93,0.000847,0.000133
93,0.000842,0.000135
93,0.000831,0.000131
93,0.000805,0.000128
94,0.000807,0.000133
94,0.000818,0.000134
94,0.000824,0.000134
94,0.000820,0.000132
94,0.000819,0.000132
94,0.000911,0.000145
94,0.001228,0.000140
95,0.001480,0.000349
95,0.002100,0.000340
95,0.001770,0.000330
95,0.001710,0.000307
95,0.001685,0.000303
95,0.001512,0.000228
96,0.001322,0.000137
96,0.000983,0.000130
96,0.000827,0.000135
96,0.000830,0.000133
96,0.000881,0.000145
96,0.001271,0.000242
96,0.001646,0.000147
96,0.001191,0.000148
96,0.001103,0.000140
96,0.000995,0.000135
96,0.000975,0.000137
96,0.000946,0.000141
96,0.000898,0.000138
96,0.000840,0.000135
96,0.000828,0.000135
96,0.001028,0.000137
96,0.000857,0.000136
96,0.000847,0.000135
96,0.000831,0.000129
96,0.000837,0.000134
96,0.000833,0.000135
96,0.000989,0.000145
96,0.001294,0.000152
96,0.001502,0.000141
96,0.001247,0.000142
96,0.001123,0.000158
96,0.001518,0.000152
96,0.001183,0.000143
96,0.000946,0.000136
96,0.000905,0.000138
96,0.000905,0.000138
96,0.000918,0.000134
96,0.000887,0.000135
96,0.000899,0.000141
96,0.000907,0.000140
96,0.000886,0.000145
96,0.000906,0.000139
96,0.001017,0.000144
97,0.001443,0.000141
97,0.001255,0.000149
97,0.001108,0.000251
97,0.001408,0.000190
97,0.001198,0.000184
97,0.001047,0.000178
97,0.000956,0.000183
97,0.000922,0.000184
97,0.000912,0.000182
98,0.000945,0.000181
98,0.000912,0.000179
98,0.000921,0.000179
98,0.000905,0.000181
98,0.000892,0.000179
98,0.000980,0.000180
98,0.001133,0.000185
98,0.001437,0.000190
98,0.001321,0.000204
98,0.001243,0.000203
98,0.001125,0.000183
98,0.006173,0.000320
98,0.001620,0.000219
98,0.001044,0.000180
98,0.000907,0.000181
98,0.000993,0.000181
98,0.001426,0.000184
99,0.001607,0.000273
99,0.001580,0.000283
99,0.001240,0.000180
100,0.001004,0.000187
100,0.001005,0.000185
100,0.001000,0.000182
100,0.000981,0.000182
100,0.000973,0.000183
100,0.001053,0.000182
100,0.000999,0.000180
100,0.000979,0.000180
100,0.000984,0.000182
100,0.000979,0.000181
100,0.001165,0.000242
100,0.001619,0.000412
100,0.002111,0.000317
100,0.001726,0.000301
100,0.001435,0.000272
100,0.001476,0.000246
100,0.001295,0.000172
100,0.001018,0.000169
100,0.000863,0.000140
100,0.000854,0.000137
100,0.000819,0.000140
100,0.000840,0.000134
100,0.000817,0.000133
100,0.000811,0.000136
100,0.000962,0.000153
100,0.001497,0.000208
100,0.001511,0.000248
100,0.001244,0.000152
100,0.001000,0.000137
100,0.001804,0.000143
100,0.000951,0.000133
100,0.000827,0.000138
100,0.000867,0.000137
100,0.000852,0.000136
101,0.000819,0.000141
101,0.000834,0.000137
101,0.000810,0.000137
101,0.000818,0.000135
101,0.000809,0.000136
102,0.000822,0.000140
102,0.000889,0.000148
102,0.001227,0.000163
102,0.001706,0.000285
103,0.001624,0.000267
104,0.001305,0.000158
105,0.001091,0.000144
105,0.000882,0.000146
106,0.000882,0.000150
106,0.000867,0.000141
106,0.000855,0.000148
106,0.000862,0.000148
106,0.000857,0.000149
106,0.000922,0.000146
106,0.000892,0.000142
106,0.000886,0.000144
106,0.000872,0.000140
107,0.000896,0.000154
107,0.001402,0.000274
107,0.001525,0.000165
107,0.001220,0.000186
107,0.001405,0.000161
107,0.001057,0.000149
107,0.000917,0.000147
107,0.000861,0.000144
107,0.000929,0.000151
107,0.000953,0.000148
107,0.000924,0.000148
108,0.000893,0.000160
108,0.000901,0.000146
109,0.000884,0.000152
109,0.000907,0.000153
109,0.000911,0.000147
109,0.000932,0.000157
109,0.001326,0.000174
110,0.001774,0.000274
110,0.002288,0.000450
110,0.001863,0.000400
110,0.001535,0.000373
110,0.001339,0.000290
110,0.001211,0.000309
110,0.001307,0.000303
110,0.001230,0.000294
110,0.001244,0.000305
110,0.001298,0.000307
111,0.001436,0.000325
111,0.001919,0.000256
111,0.001259,0.000159
111,0.001146,0.000149
112,0.000893,0.000152
112,0.000861,0.000150
112,0.000895,0.000155
112,0.000889,0.000146
112,0.000882,0.000151
112,0.000946,0.000151
112,0.000912,0.000148
112,0.000899,0.000149
112,0.000929,0.000153
112,0.000903,0.000153
112,0.000893,0.000151
113,0.000889,0.000160
114,0.001077,0.000169
114,0.001476,0.000260
115,0.001605,0.000267
115,0.001455,0.000176
115,0.001145,0.000152
115,0.000909,0.000157
115,0.000949,0.000160
115,0.000931,0.000151
115,0.000898,0.000152
115,0.000891,0.000157
115,0.000901,0.000157
115,0.000885,0.000153
116,0.000904,0.000160
116,0.000965,0.000156
116,0.000924,0.000156
116,0.000927,0.000165
116,0.001297,0.000256
116,0.001659,0.000256
116,0.001488,0.000196
116,0.001242,0.000164
116,0.001039,0.000156
116,0.001255,0.000203
116,0.001248,0.000205
117,0.001172,0.000181
117,0.000991,0.000156
117,0.000940,0.000164
117,0.000941,0.000164
117,0.000953,0.000163
117,0.000963,0.000156
118,0.000947,0.000157
118,0.001054,0.000166
118,0.001345,0.000179
118,0.001214,0.000188
119,0.001322,0.000194
119,0.001299,0.000184
119,0.001443,0.000188
119,0.001160,0.000165
119,0.000971,0.000169
119,0.000990,0.000165
119,0.000963,0.000162
119,0.000931,0.000157
119,0.000915,0.000162
119,0.000919,0.000161
120,0.000938,0.000161
121,0.000921,0.000170
121,0.000972,0.000171
121,0.001409,0.000176
121,0.001508,0.000178
121,0.001263,0.000172
121,0.001385,0.000181
121,0.001222,0.000167
121,0.001016,0.000164
121,0.001011,0.000163
121,0.001019,0.000166
121,0.001010,0.000172
121,0.001004,0.000169
121,0.000960,0.000166
121,0.000953,0.000172
121,0.000947,0.000168
121,0.000940,0.000168
121,0.000973,0.000182
121,0.001318,0.000179
121,0.001510,0.000182
121,0.001447,0.000193
121,0.001398,0.000173
122,0.001259,0.000173
122,0.001076,0.000168
122,0.000991,0.000173
122,0.001026,0.000177
122,0.001020,0.000170
122,0.001021,0.000169
122,0.000965,0.000165
122,0.000963,0.000165
