Number of Particles,Frame Time,Update Time
129,0.010544,0.01084
129,0.011704,0.010538
130,0.011432,0.011004
130,0.011967,0.012177
131,0.01309,0.011707
131,0.012629,0.011758
131,0.01277,0.01277
131,0.013688,0.012071
131,0.013109,0.014515
131,0.015423,0.010886
131,0.011767,0.011178
131,0.012063,0.010848
131,0.011792,0.009573
132,0.010451,0.009977
132,0.010852,0.009783
132,0.010654,0.010273
133,0.01116,0.010248
133,0.01113,0.009866
133,0.010742,0.010582
133,0.01146,0.0107
133,0.011572,0.010903
133,0.011848,0.009835
133,0.010706,0.009839
133,0.010716,0.009979
133,0.010867,0.010141
133,0.011017,0.009812
133,0.010683,0.010072
133,0.010961,0.010051
133,0.010923,0.010112
133,0.01099,0.009892
133,0.010784,0.010046
133,0.01092,0.010002
133,0.010906,0.00989
133,0.010766,0.010065
133,0.010969,0.010133
133,0.01101,0.009941
134,0.010818,0.010392
135,0.011282,0.010145
135,0.011068,0.011364
135,0.012312,0.011695
135,0.012674,0.011531
135,0.012509,0.011767
135,0.012694,0.010746
135,0.011631,0.011069
135,0.011956,0.009931
135,0.010811,0.009918
135,0.010819,0.010406
135,0.011292,0.010205
136,0.011088,0.010031
136,0.01091,0.011606
136,0.012495,0.010126
137,0.011025,0.01079
137,0.011716,0.010283
137,0.011166,0.01048
137,0.011367,0.010228
137,0.011184,0.010167
137,0.011058,0.010607
137,0.011507,0.010412
137,0.01135,0.010166
137,0.011073,0.010276
137,0.011171,0.010142
137,0.011111,0.010178
137,0.011088,0.011472
137,0.012383,0.010877
137,0.011782,0.010301
137,0.011197,0.010337
138,0.011234,0.010334
138,0.011267,0.010394
138,0.011292,0.010744
138,0.011643,0.010197
139,0.011094,0.010309
139,0.011202,0.010827
140,0.011736,0.010609
141,0.011507,0.010471
141,0.01148,0.01069
141,0.011591,0.010524
141,0.011429,0.010543
141,0.011475,0.01032
141,0.011215,0.010905
141,0.01181,0.010573
142,0.011493,0.010635
142,0.011559,0.010905
142,0.01181,0.010897
142,0.011801,0.010371
142,0.011272,0.010704
142,0.01161,0.010874
142,0.011775,0.010642
143,0.011645,0.010676
143,0.011586,0.010742
143,0.011648,0.010671
144,0.011594,0.010682
144,0.01159,0.010932
144,0.011853,0.010779
145,0.011689,0.010867
146,0.011793,0.011134
146,0.012051,0.010833
146,0.011783,0.01071
146,0.011677,0.011081
146,0.012003,0.011564
146,0.012514,0.011281
146,0.012207,0.010707
147,0.011715,0.011092
147,0.012019,0.010985
148,0.011905,0.011026
148,0.011967,0.010891
148,0.011822,0.011119
148,0.012037,0.011245
148,0.012164,0.01099
148,0.011918,0.011052
148,0.011978,0.011012
148,0.011932,0.012294
148,0.013216,0.011725
149,0.012649,0.012525
149,0.013461,0.011386
149,0.012341,0.011235
150,0.012179,0.011556
150,0.012526,0.011109
150,0.012043,0.011372
150,0.012305,0.011316
150,0.012245,0.011328
150,0.012259,0.011534
150,0.012464,0.011349
150,0.012288,0.011381
151,0.012492,0.012909
151,0.014095,0.013683
151,0.014704,0.013498
152,0.014483,0.013159
152,0.014096,0.012081
152,0.013033,0.011655
152,0.012589,0.011296
153,0.012247,0.011631
153,0.012578,0.011782
153,0.012716,0.01156
153,0.012502,0.011429
154,0.012372,0.011824
154,0.012771,0.011606
154,0.012554,0.012001
154,0.012935,0.011542
154,0.012482,0.011748
154,0.012699,0.011562
154,0.012511,0.01154
154,0.012484,0.011639
154,0.012583,0.011843
154,0.012797,0.011537
154,0.012477,0.011577
154,0.012521,0.011405
154,0.012356,0.011813
154,0.012771,0.011658
154,0.01261,0.011542
154,0.012484,0.011416
154,0.012366,0.011554
154,0.012498,0.011706
154,0.012653,0.011437
154,0.01238,0.011616
154,0.012568,0.011509
154,0.012457,0.011675
154,0.012627,0.011893
155,0.012844,0.011555
155,0.012531,0.011509
155,0.012458,0.012467
156,0.013427,0.011743
156,0.012692,0.011253
156,0.012212,0.01221
156,0.013163,0.012018
157,0.012977,0.011835
157,0.012784,0.011704
157,0.01277,0.011799
157,0.012777,0.011778
157,0.012737,0.011698
157,0.012653,0.01182
158,0.012783,0.01258
158,0.013671,0.011739
158,0.012706,0.011757
158,0.012716,0.012932
158,0.01389,0.012897
158,0.01385,0.012918
158,0.01388,0.011877
158,0.012845,0.012028
158,0.01299,0.012089
159,0.013051,0.01215
159,0.013109,0.011932
159,0.012896,0.012084
159,0.013043,0.011901
159,0.012883,0.011632
159,0.012588,0.013401
160,0.014366,0.012831
160,0.013809,0.013235
161,0.014214,0.01238
162,0.013345,0.012144
162,0.013153,0.01212
162,0.013144,0.012073
162,0.013046,0.012782
162,0.01376,0.013336
162,0.014316,0.012303
162,0.013275,0.011772
162,0.01274,0.013
162,0.014016,0.011987
162,0.012959,0.012609
162,0.013589,0.012669
162,0.013648,0.012363
162,0.013414,0.012768
162,0.013741,0.013863
162,0.01491,0.014024
162,0.015097,0.013603
163,0.014629,0.013606
163,0.014587,0.012518
164,0.013583,0.013269
164,0.014256,0.012598
164,0.013574,0.012251
164,0.013235,0.012543
164,0.01352,0.012483
164,0.013459,0.012207
164,0.013188,0.012298
164,0.013264,0.012526
164,0.013512,0.012595
164,0.01358,0.012446
164,0.013423,0.01266
165,0.013639,0.012491
165,0.013481,0.012288
165,0.013359,0.012302
166,0.013288,0.012797
166,0.013783,0.012508
166,0.01349,0.012565
166,0.013541,0.012246
166,0.013338,0.012506
166,0.013496,0.012567
166,0.01359,0.012251
166,0.013239,0.012553
166,0.013531,0.012496
166,0.01347,0.012512
166,0.013497,0.012692
166,0.013677,0.012493
166,0.013474,0.012423
166,0.0134,0.01418
